"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"sleep disturbances","/sliːp dɪˈstɜːrbənsɪz/","uyqu buzilishlari","нарушения сна","Uyquga ketish, uxlab turish yoki uyqu sifatining yomonlashishi bilan bog'liq muammolar.","Проблемы с засыпанием, поддержанием сна или качеством сна.","Old English slæp + Latin disturbare (to throw into disorder).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0b/0b426f1f189f9c06165763b3e69e673908684a8f.mp3"
"sleep latency","/sliːp ˈleɪtənsi/","uyqu latentligi","латентность сна","Chiroq o'chirilgandan so'ng to'liq uxlab qolishgacha ketadigan vaqt miqdori.","Время, необходимое для перехода от полного бодрствования к засыпанию.","Old English slæp + Latin latentia (concealment).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/1a/1acfb62b1fe224df40be7d74e5eeee2e1f922dee.mp3"
"sleep onset","/sliːp ˈɒnsɛt/","uyqu boshlanishi","засыпание (начало сна)","Uyg'oqlik holatidan uyqu holatiga o'tish lahzasi.","Момент перехода из состояния бодрствования в состояние сна.","Old English slæp + on + settan (to place).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a2/a20b8f92f779a51d69a7f73bbf2747c386fdb05b.mp3"
"sleep paralysis","/sliːp pəˈræləsɪs/","uyqu falaji","сонный паралич","Uyqudan uyg'onish yoki uxlash vaqtida harakat qila olmaslik holati.","Состояние временной неподвижности при пробуждении или засыпании.","Greek para (beside) + lyein (loosen).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/df/df9504d53cc219e547328299e8f6514478a891bf.mp3"
"sleep spindles","/sliːp ˈspɪndəlz/","uyqu urchuqlari","сонные веретена","NREM uyquning 2-bosqichida (N2) kuzatiladigan, 11-16 Gts chastotali qisqa muddatli miya to'lqinlari portlashi.","Вспышки активности на ЭЭГ с частотой 11-16 Гц, характерные для второй стадии (N2) медленного сна.","Named for their spindle-like shape (tapering at both ends) on the EEG paper trace.","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e9/e924d21bcc5362c136f588ea3338a570f7ca67d8.mp3"
"sleep terrors","/sliːp ˈtɛrərz/","tungi qo'rqinchlar","ночные страхи","NREM uyquning 3-bosqichida yuzaga keladigan, qichqiriq va kuchli qo'rquv bilan kechadigan, lekin eslab qolinmaydigan parasomniya.","Парасомния, возникающая в 3-й стадии NREM-сна, характеризующаяся криками и сильным страхом без воспоминаний о событии.","Old English slæp (sleep) + Latin terrere (to frighten).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e4/e43de6093fc358159416792df14ccd891d8bb614.mp3"
"sleep-onset insomnia","/sliːp ˈɒnsɛt ɪnˈsɒmniə/","uyquga ketish qiyinligi (insomniya)","трудности с засыпанием (инсомния)","Kechasi uxlab qolishning qiyinlashishi.","Нарушение сна, характеризующееся трудностями в начале процесса засыпания.","English sleep + onset + Latin in- (not) + somnus (sleep).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/1b/1be0ad01aa92d1b13c394d585964d0895daf4f5b.mp3"
"sleep-wake cycle disruption","/sliːp weɪk ˈsaɪkəl dɪsˈrʌpʃən/","uyqu-uyg'oqlik siklining buzilishi","нарушение цикла сна и бодрствования","Sirkad ritmlarning buzilishi natijasida uyqu va uyg'oqlik vaqtlarining o'zgarishi.","Нарушение циркадных ритмов, приводящее к расстройству времени сна и бодрствования.","Old English slæp + wacan + Greek kyklos (circle) + Latin disruptio (breaking apart).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d1/d18078702b07310bb956eed6b5e18acb21844b97.mp3"
"sleepwalking","/ˈsliːpˌwɔːkɪŋ/","somnambulizm (uyquda yurish)","сомнамбулизм (снохождение)","NREM uyquning chuqur bosqichida yuzaga keladigan, uyquda murakkab harakatlarni (masalan, yurish) bajarish bilan tavsiflanadigan parasomniya.","Парасомния, возникающая в стадию глубокого сна, при которой человек совершает сложные двигательные акты, оставаясь в состоянии сна.","From Old English slæp (sleep) + wealcan (to roll/toss), later meaning to move on foot.","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f8/f8212425cfcae2b2e1221f350b044090016f9617.mp3"
"sliding scale","/ˈslaɪdɪŋ skeɪl/","sirpanuvchi shkala (dozani glyukozaga qarab sozlash)","скользящая шкала","Insulin dozasini joriy qon glyukozasi darajasiga qarab belgilash usuli.","Метод титрования дозы инсулина в зависимости от текущего уровня глюкозы в крови.","From English slide + scale, referring to a progressive adjustment system.","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/63/638a2a5500f8cf03bd916f4a6b1197b67dc63066.mp3"
"slipped capital femoral epiphysis","/slɪpt ˈkæpɪtəl fəˈmɒrəl ɪˈpɪfɪsɪs/","son suyagi boshchasining o'sish sohasidan siljishi","эпифизеолиз головки бедренной кости","O'smirlarda uchraydigan, son suyagi boshchasining o'sish plastinkasidan siljishi bilan tavsiflanadigan kasallik.","Смещение головки бедренной кости относительно шейки по линии росткового хряща.","Latin capitalis (of the head) + femoralis (of the thigh) + Greek epiphysis (growth).","condition","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d8/d8516cf21dc27ccc65ef35af5b42c9107d9e7307.mp3"
"slit lamp exam","/slɪt læmp ɪɡˈzæm/","tirqishli lamba yordamida tekshirish","осмотр на щелевой лампе","Ko'zning oldingi qismlarini yuqori kattalashtirish ostida tekshirish imkonini beruvchi oftalmologik usul.","Метод биомикроскопии глаза с использованием специального осветительного прибора.","Descriptive English term for the narrow beam (slit) of light used.","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/72/72039889d09b373fece33d80753012a4cb68772a.mp3"
"slit-lamp examination","/slɪt læmp ɪɡˌzæmɪˈneɪʃən/","tirqishli lamba yordamida tekshirish","осмотр с помощью щелевой лампы","Ko'zning oldingi va orqa qismlarini yuqori aniqlikda ko'rish imkonini beruvchi oftalmologik tekshiruv usuli.","Метод офтальмологического исследования структур глаза с использованием специального микроскопа и источника света.","From English slit (narrow opening) + lamp, describing the narrow beam of light used.","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/68/681c147e0f8904b1da0feefaea0d8ada3f9625a8.mp3"
"slit-like vascular spaces","/slɪt laɪk ˈvæskjələr ˈspeɪsɪz/","tirqishsimon tomir bo'shliqlari","щелевидные сосудистые пространства","Gistologiyada Kaposhi sarkomasi uchun xos bo'lgan tor, tirqishsimon qon tomir tuzilmalari.","Узкие, щелевидные структуры сосудов, видимые при микроскопии саркомы Капоши.","English slit (narrow opening) + Latin vasculum (small vessel).","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/32/3267a654f6f745ec639a4084db0aef5f1029c440.mp3"
"slough off","/slʌf ɔːf/","ko'chib tushish","отслаиваться","O'lik yoki shikastlangan to'qima qatlamining sog'lom to'qimadan ajralib chiqishi.","Процесс отторжения омертвевших или поврежденных слоев ткани с поверхности органа.","Middle English slughe (skin of a snake).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/30/30c2ad8a5eb93a060cbcb7093b690163b24f2e5b.mp3"
"sodium-potassium pump","/ˈsoʊdiəm pəˈtæsiəm pʌmp/","natriy-kaliy pompasi","натрий-калиевый насос","Hujayra membranasidagi ATF-aza fermenti bo'lib, natriyni tashqariga va kaliyni ichkariga tashiydi.","Фермент клеточной мембраны, активно переносящий ионы натрия из клетки, а ионы калия — в клетку.","Named for the chemical elements Sodium (Natrium) and Potassium (Kalium).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f4/f4d96d710520726ce5a7f03a354a85d9a9a7a9e6.mp3"
"soft palate","/sɒft ˈpælət/","yumshoq tanglay","мягкое небо","Og'iz bo'shlig'i tepasining orqa, mushakli qismi.","Задняя, мышечная часть неба, отделяющая ротовую полость от носоглотки.","Latin palatum (roof of the mouth).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/68/686c87b09a9f10e362fd73dba69120b23992471e.mp3"
"soft palate paralysis","/sɒft ˈpælət pəˈræləsɪs/","yumshoq tanglay falaji","паралич мягкого неба","Yumshoq tanglay mushaklarining harakatlanish qobiliyatini yo'qotishi, ko'pincha difteriya toksini ta'sirida yuzaga keladi.","Утрата двигательной функции мышц мягкого неба, часто возникающая при воздействии токсина дифтерии.","Latin palatum (roof of mouth) + Greek paralysis (loosening/disabling).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0d/0ddebe79fe23605c173dc73339728f596ca7f226.mp3"
"soft restraints","/sɒft rɪˈstreɪnts/","yumshoq cheklovchi vositalar","мягкая фиксация","Bemorning harakatini cheklash uchun ishlatiladigan matodan qilingan yumshoq bog'ichlar yoki moslamalar.","Мягкие тканевые повязки или приспособления, используемые для ограничения движений пациента.","Old English soft + Latin restringere (to tie back).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c4/c4807919efd02c388b47ac63d9d963597c748b6d.mp3"
"soft tissue crepitus","/sɒft ˈtɪʃuː ˈkrɛpɪtəs/","yumshoq to'qimalar krepitatsiyasi","крепитация мягких тканей","Teri ostida gaz pufakchalari borligi sababli bosilganda eshitiladigan g'isirlash yoki qisirlash ovozi.","Ощущение или звук хруста при пальпации, вызванный наличием пузырьков газа в мягких тканях.","Latin crepitus (a rattling/crackling).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/8c/8cfcb2c387ae4b13cc6fce812440bfff844d2115.mp3"
"soft tissue sarcomas","/sɒft ˈtɪʃuː sɑːrˈkoʊməz/","yumshoq to'qima sarkomalari","саркомы мягких тканей","Mushak, yog' yoki biriktiruvchi to'qimalardan kelib chiqadigan xavfli o'smalar guruhi.","Группа злокачественных опухолей, развивающихся из мышц, жира или соединительной ткани.","Greek sarx (flesh) + -oma (tumor).","condition","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/0d/0d9357d5da638541fcecd546178c0c69c7737ad3.mp3"
"soft tissue swelling","/sɒft ˈtɪʃuː ˈswɛlɪŋ/","yumshoq to'qimalar shishi","отек мягких тканей","Suyak atrofidagi mushak va teri kabi yumshoq to'qimalarning hajmi ortishi yoki shishishi.","Увеличение объема или припухлость тканей, окружающих кость (мышц, подкожной клетчатки).","Old English swellan (to grow larger).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/04/04d67146dd6a882578ab7a1c45b1be846c0d548d.mp3"
"soft tissue tenderness","/sɒft ˈtɪʃuː ˈtɛndərnəs/","yumshoq to'qimalarning sezuvchanligi","болезненность мягких тканей","Mushaklar, paylar yoki boylamlar kabi yumshoq to'qimalarga bosilganda og'riq sezilishi.","Болезненность при пальпации мягких тканей, таких как мышцы, сухожилия или связки.","Old English softe + French tissu (woven); Latin tener (delicate).","finding","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/40/4085c225130c3036844d53a2f584fc8486f6f87f.mp3"
"soft-tissue swelling","/sɒft ˈtɪʃuː ˈswɛlɪŋ/","yumshoq to'qimalar shishi","отек мягких тканей","Yallig'lanish yoki jarohat natijasida mushak, yog' yoki teri to'qimalarining shishishi.","Увеличение объема мягких тканей вследствие воспаления, травмы или нарушения лимфооттока.","Old English swellan (to grow larger).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a1/a155a1c41ae0d30458623f516a013954b117e259.mp3"
"solid food dysphagia","/ˈsɒlɪd fuːd dɪsˈfeɪdʒiə/","qattiq ovqat yutishning qiyinlashishi","дисфагия при приеме твердой пищи","Qattiq ovqatni yutishda qiyinchilik yoki uning tiqilib qolish hissi.","Затруднение глотания твердой пищи или ощущение ее застревания при прохождении по пищеводу.","Greek dys- (bad/difficult) + phagein (to eat).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/db/db7567a5247c92c1815861189609907c3733ab96.mp3"
"solid malignancies","/ˈsɒlɪd məˈlɪɡnənsiz/","zich (solid) xavfli o'smalar","солидные злокачественные новообразования","Qon yoki limfadan tashqari, a'zolarda hosil bo'ladigan zich to'qimali saraton o'smalari.","Опухоли, развивающиеся из плотных тканей органов, в отличие от лейкозов.","Latin solidus (firm) + malignitas (wickedness/malice).","condition","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ed/ed06b08d293f73cf9d62cd748ee68aff62928b18.mp3"
"solid organ malignancy","/ˈsɒlɪd ˈɔːrɡən məˈlɪɡnənsi/","zich a'zolar xavfli o'simtasi","злокачественное новообразование солидных органов","Gematologik bo'lmagan, zich to'qimalardan tashkil topgan a'zolarda (masalan, o'pka, ko'krak) rivojlanadigan saraton.","Рак, развивающийся в плотных органах (например, легких, молочной железе), в отличие от гематологических опухолей.","Latin solidus (firm) + organum (instrument) + malignus (wicked/evil-natured).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/36/3620fcad4ec3c77a757def9e6f0474b92ab7dd7c.mp3"
"solitary activities","/ˈsɒlɪtɛri ækˈtɪvɪtiz/","yolg'iz bajariladigan mashg'ulotlar","одиночная деятельность","Boshqa odamlar ishtirokisiz, yolg'iz bajariladigan ishlar yoki sevimli mashg'ulotlar.","Занятия или хобби, выполняемые в одиночку без участия других людей.","Latin solitarius (alone) + activitas.","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/09/09d34c330c8bb61209293565932b78be5ff99559.mp3"
"solitary cortical mass","/ˈsɒlɪtɛri ˈkɔːrtɪkəl mæs/","yagona kortikal hosila","единичное корковое образование","Miya po'stlog'ida joylashgan bitta alohida o'simta yoki massa.","Одиночное объемное образование, расположенное в коре головного мозга.","Latin solitarius (alone) + cortex (bark/shell) + massa (lump).","imaging","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/30/30266fccc9d91bd24f234f683cdd6107e1acb07a.mp3"
"solitary mass","/ˈsɒlɪtɛri mæs/","yakka hosila","солитарное образование","To'qimalarda yoki a'zolarda aniqlangan bitta, alohida hajmli hosila yoki o'simta.","Одиночное объемное образование или опухоль, обнаруженная в тканях или органах.","Latin solitarius (alone) + massa (lump).","imaging","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/9f/9f276151403bbec0e0fa1b1381a0ee630781419a.mp3"
"solubility","/ˌsɒljʊˈbɪlɪti/","eruvchanlik","растворимость","Moddaning ma'lum bir erituvchida (masalan, qonda) erish qobiliyati.","Способность вещества растворяться в определенном растворителе (например, в крови).","Latin solubilis (that can be dissolved).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ab/abdc2797d8ea10369e2343aae08efe765782c999.mp3"
"soluble receptor decoy protein","/ˈsɒljʊbl rɪˈsɛptər dɪˈkɔɪ ˈproʊtiːn/","eruvchan retseptor-aldamchi oqsil","растворимый белок-ловушка для рецепторов","Erkin sitokinlar bilan bog'lanib, ularning haqiqiy hujayra retseptorlariga yetib borishini to'sadigan oqsil.","Белок, который связывается со свободными цитокинами, предотвращая их взаимодействие с настоящими клеточными рецепторами.","Latin solubilis (dissolvable) + recipere (to receive) + Dutch kooi (cage).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5d/5db025d802427f1efc3728a35e199169c76c1537.mp3"
"somatic cells","/soʊˈmætɪk sɛlz/","somatik hujayralar","соматические клетки","Organizmdagi jinsiy hujayralardan tashqari barcha tana hujayralari.","Все клетки организма, за исключением половых клеток.","Greek soma (body) + Latin cella (small room).","anatomy","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/48/4819c31ec422c1c321e4868ff65db38d65a02059.mp3"
"somatic hypermutation","/soʊˈmætɪk ˌhaɪpərmjuːˈteɪʃən/","somatik gipermutatsiya","соматическая гипермутация","B-hujayralar antigen bilan bog'lanish qobiliyatini oshirish uchun immunoglobulin genlarida sodir bo'ladigan tezkor mutatsiyalar.","Процесс быстрых мутаций в генах иммуноглобулинов B-клеток для повышения их сродства к антигену.","Greek soma (body) + hyper (over) + Latin mutatio (change).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/6d/6d3f9050caadd36aea438794e0ae289f84fca5a1.mp3"
"somatic mosaicism","/soʊˈmætɪk moʊˈzeɪɪˌsɪzəm/","somatik mozaitsizm","соматический мозаицизм","Bir organizmda bitta zigotadan kelib chiqqan, lekin genetik jihatdan farq qiluvchi hujayra liniyalarining mavjudligi.","Наличие в одном организме генетически различных популяций клеток, происходящих из одной зиготы.","Greek soma (body) + mosaic (pattern of small pieces) + -ism (condition).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/96/96560288676e96738d51ee28d6a0bcfa4bcddfe7.mp3"
"somatic symptom disorder","/soʊˈmætɪk ˈsɪmptəm dɪsˈɔːrdər/","somatik simptom buzilishi","соматическое симптомное расстройство","Jismoniy simptomlar tufayli haddan tashqari tashvishlanish va kundalik hayotning buzilishi bilan tavsiflanadigan psixiatrik holat.","Психическое расстройство, характеризующееся чрезмерной озабоченностью физическими симптомами, вызывающими значительный дистресс.","Greek soma (body) + Latin symptoma (sign).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/7b/7b1ffa7aee696a4cc97098707ed2c6cffc55a180.mp3"
"somatic symptoms","/soʊˈmætɪk ˈsɪmptəmz/","somatik simptomlar","соматические симптомы","Psixologik distress natijasida yuzaga keladigan jismoniy tana belgilari (masalan, qorin og'rig'i).","Физические проявления болезни или дискомфорта, возникающие вследствие психологических факторов.","Greek somatikos (of the body) + symptoma (accident/misfortune).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/60/607aa312260e50fd41941d1194e3c8f7e69d4e0d.mp3"
"somatosensory cortex","/soʊˌmætoʊˈsɛnsəri ˈkɔːrtɛks/","somatosensor po'stloq","соматосенсорная кора","Bosh miya yarim sharlarining tanadan keladigan sensorli signallarni qayta ishlovchi qismi.","Область коры головного мозга, отвечающая за обработку сенсорных сигналов, поступающих от тела.","Greek soma (body) + Latin sensorius (senses) + cortex (bark/outer layer).","anatomy","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ff/ff8d754585b365109c46abaeab8d00e43cd9bb00.mp3"
"somatostatin analogue","/soʊˌmætəˈstætɪn ˈænəlɒɡ/","somatostatin analogi","аналог соматостатина","Tabiiy somatostatin gormonining ta'sirini taqlid qiluvchi va gormonlar sekretsiyasini tormozlovchi dori vositasi.","Препарат, имитирующий действие природного соматостатина и подавляющий секрецию различных гормонов.","Greek soma (body) + statos (standing) + analogos (proportionate).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d9/d94550cc181715cf703a704cbdbb0b4cef2b9314.mp3"
"somatostatin-producing cells","/soʊˌmætəˈstætɪn prəˈdjuːsɪŋ sɛlz/","somatostatin ishlab chiqaruvchi hujayralar","соматостатин-продуцирующие клетки","Oshqozon va ichakda joylashgan, gastrin sekretsiyasini tormozlovchi delta (D) hujayralar.","Дельта-клетки (D-клетки), секретирующие соматостатин, который подавляет высвобождение гастрина.","Greek soma (body) + statos (standing/fixed).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/6a/6ac9ccfa88538fbe4995fcd737cffb9722dec677.mp3"
"somatotopic organization","/soʊˌmætəˈtɒpɪk ˌɔːrɡənaɪˈzeɪʃən/","somatotopik tuzilish","соматотопическая организация","Tana qismlarining miya po'stlog'idagi ma'lum sohalarga mos ravishda joylashishi.","Соответствие определенных участков коры головного мозга конкретным частям тела.","Greek soma (body) + topos (place).","mechanism","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e1/e17abc75944af79e0fb03f1723f89725071ef6c3.mp3"
"somnolence","/ˈsɒmnələns/","uyquchanlik","сонливость","Kuchli uyqu kelishi yoki mudroq holati.","Состояние патологической сонливости или полусна.","Latin somnus (sleep).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/45/456144e0b07fe0102b27c1f6911a873e9109cf3e.mp3"
"somnolent","/ˈsɒmnələnt/","uyquchanlik (somnolentsiya)","сомнолентность (патологическая сонливость)","Bemorning g'ayritabiiy darajada uyquga moyilligi yoki karaxtlik holati.","Состояние патологической сонливости, при котором пациент легко засыпает, но может быть разбужен.","Latin somnus (sleep).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5c/5cdee9a35be56d04f60aa940402b5686d015e690.mp3"
"sorbitol dehydrogenase","/ˈsɔːrbɪtɒl diːˈhaɪdrədʒəneɪz/","sorbitol degidrogenaza","сорбитолдегидрогеназа","Sorbitolni fruktozaga aylantiruvchi ferment bo'lib, uning past faolligi to'qimalarda sorbitol to'planishiga olib keladi.","Фермент, превращающий сорбитол во фруктозу; его низкая активность в некоторых тканях приводит к накоплению сорбитола.","Sorbitol + Greek de- (away) + hydor (water) + -ase (enzyme).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/d5/d58f6cbbaaea0b1efe6bad898537f628111a2969.mp3"
"sorbitol-negative colonies","/ˈsɔːrbɪtɒl ˈnɛɡətɪv ˈkɒləniz/","sorbitol-manfiy koloniyalar","сорбитол-отрицательные колонии","Sorbitol-MacConkey agarida sorbitolni fermentatsiya qilmaydigan (rangsiz) bakteriyalar to'plami.","Скопления бактерий, которые не ферментируют сорбитол на агаре МакКонки, оставаясь бесцветными.","Latin sorbum (service berry) + Greek colonia (settlement).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/b4/b47c1b872ff38bf6d4f2769758a34770b3818caf.mp3"
"sore throat","/sɔːr θroʊt/","tomoq og'rig'i","боль в горле","Yutish paytida yoki tomoqda seziladigan og'riq va noqulaylik.","Болезненные ощущения или дискомфорт в области глотки, усиливающиеся при глотании.","Old English sar (painful) + throte (throat).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/85/852cec1c59cbcbc413a14b16f3fa2005b701f5f0.mp3"
"Southern blot","/ˈsʌðərn blɒt/","Sautern-blot","Саузерн-блоттинг","DNK namunalaridagi spesifik nukleotid ketma-ketliklarini aniqlash uchun qo'llaniladigan laboratoriya usuli.","Лабораторный метод, используемый для обнаружения специфической последовательности ДНК в образце.","Named after Edwin Southern, the British biologist who developed the technique in 1975.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a1/a1b7d7c314f85cc8365bc2d99df0bfd37da6e9ed.mp3"
"Southern blot technique","/ˈsʌðərn blɒt tɛkˈniːk/","Sautern-blot usuli","Саузерн-блоттинг","DNK namunalarida o'ziga xos ketma-ketliklarni aniqlash uchun ishlatiladigan laboratoriya usuli.","Метод молекулярной биологии, используемый для обнаружения специфической последовательности ДНК в образцах.","Named after Edwin Southern, the British biologist who developed the method.","lab","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c3/c3e942cf230ba652f3dd6db9a702bd1c27dc726f.mp3"
"Southern blotting","/ˈsʌðərn ˈblɒtɪŋ/","Sautern-blotting usuli","Саузерн-блоттинг","DNK namunalaridagi o'ziga xos ketma-ketliklarni aniqlash uchun qo'llaniladigan laboratoriya usuli.","Метод идентификации специфических последовательностей ДНК в образцах.","Named after Edwin Southern, the British biologist who developed the technique in 1975.","lab","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/a3/a32d4cc1c550499a0d61c4a05dd1e46ebe5ef59a.mp3"
"space of Disse","/speɪs əv ˈdɪsə/","Disse bo'shlig'i","пространство Диссе","Jigarda gepatotsitlar va sinusoidal endotelial hujayralar o'rtasidagi subendotelial bo'shliq.","Субэндотелиальное пространство в печени между гепатоцитами и синусоидальными эндотелиоцитами.","Named after German anatomist Joseph Disse.","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c9/c9a4e07b3c2bc47be70e09e833ef5fb582aed7c5.mp3"
"space-occupying lesion","/speɪs ˈɒkjʊpaɪɪŋ ˈliːʒən/","hajmli hosila","объемное образование","Miya ichida joy egallaydigan va atrofdagi to'qimalarni siqib qo'yadigan har qanday patologik tuzilma (masalan, o'simta yoki gematoma).","Любое патологическое образование (опухоль, абсцесс, гематома), занимающее объем в полости черепа.","Latin spatium (space) + occupare (to seize) + laesio (injury).","imaging","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/5a/5a480096602d4a9acbb87a05fc608f2284d49888.mp3"
"space-occupying lesions","/speɪs ˈɒkjʊpaɪɪŋ ˈliːʒənz/","hajmli hosilalar","объемные образования","Atrofdagi to'qimalarni siqib qo'yadigan har qanday patologik massa (masalan, o'simta yoki gematoma).","Любое патологическое образование, которое вытесняет или сдавливает окружающие ткани (например, опухоль).","Latin spatium (room) + occupare (to seize) + laesio (injury).","imaging","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/22/221c34145cccba51644a718ea32501aa93c54821.mp3"
